fecha,producto,tienda,unidades,precio,promocion,mes,dia_semana
2024-01-01,a,Centro,12,9.99,0,1,Monday
2024-01-02,a,Centro,15,9.99,1,1,Tuesday
2024-01-03,a,Centro,9,9.99,0,1,Wednesday
2024-01-04,a,Centro,18,9.49,1,1,Thursday
2024-01-05,a,Centro,10,9.99,0,1,Friday
2024-01-01,b,Centro,8,19.99,0,1,Monday
2024-01-02,b,Centro,10,18.99,1,1,Tuesday
2024-01-03,b,Centro,7,19.99,0,1,Wednesday
2024-01-04,b,Centro,11,18.99,1,1,Thursday
2024-01-05,b,Centro,9,19.99,0,1,Friday
2024-01-01,c,Sur,20,4.99,0,1,Monday
2024-01-02,c,Sur,22,4.99,0,1,Tuesday
2024-01-03,c,Sur,30,4.49,1,1,Wednesday
2024-01-04,c,Sur,35,4.49,1,1,Thursday
2024-01-05,c,Sur,25,4.99,0,1,Friday
2024-01-01,d,Norte,14,7.49,0,1,Monday
2024-01-02,d,Norte,17,7.49,0,1,Tuesday
2024-01-03,d,Norte,15,6.99,1,1,Wednesday
2024-01-04,d,Norte,21,6.99,1,1,Thursday
2024-01-05,d,Norte,13,7.49,0,1,Friday
